Cor,Placa,Marca,Ano,Kilometragem,Valor,Modelo,Categoria
Azul,6N-9500,Ferrari,2003,42934.0,552641.0,Sian,Super Esportivo
Vermelho,1A-9036,Mitsubishi,2009,273045.0,695003.0,Tucson,Super Esportivo
Azul,3S-5686,Toyota,2006,125024.0,514185.0,Fit,Sedan
Verde,2J-6668,Honda,1991,294507.0,15886.0,812 GTS,Hatch
Azul,9D-3472,Lamborghini,2013,229468.0,287864.0,Eclipse GT,SUV
Branco,4L-2644,Ford,2013,236012.0,498084.0,Fit,SUV
Branco,4I-9792,Toyota,2021,209347.0,252436.0,F12 Berlinetta,Hatch
Branco,7A-1651,Lamborghini,2014,241150.0,580536.0,Compass,Pick-up
Verde,1B-9682,Lamborghini,2011,74670.0,846343.0,812 Superfast,SUV
Branco,7K-2977,Toyota,2002,275768.0,605376.0,HR-V,SUV
Preto,1W-2259,Chevrolet,2008,21.0,294096.0,458 Speciale,Hatch
Vermelho,6F-2937,Toyota,2001,86438.0,933625.0,Huracan,SUV
Verde,4T-5795,Mitsubishi,1993,179938.0,371400.0,Focus,SUV
Verde,1L-2167,Ferrari,1991,115428.0,900482.0,Fiesta Sedan,Super Esportivo
Vermelho,7D-7235,Honda,2023,82156.0,606741.0,Focus,Hatch
Branco,7I-1774,Lamborghini,2020,286568.0,951093.0,Gallardo,SUV
Verde,2F-9570,Lamborghini,1991,218771.0,952254.0,Renegade,Hatch
Branco,8Y-6898,Mitsubishi,1997,150022.0,869640.0,Fiesta Sedan,Esportivo
Azul,1F-7677,Honda,1990,58824.0,165004.0,488 Pista,Hatch
Branco,5T-9293,Toyota,2019,258437.0,631062.0,Tucson,Esportivo
Azul,6V-4503,Mitsubishi,2019,120656.0,799188.0,Onix,Esportivo
Branco,9T-7408,Mitsubishi,2022,256582.0,160647.0,Renegade,Hatch
Verde,2G-2573,Toyota,2001,250466.0,417516.0,S10,Super Esportivo
Vermelho,8H-8180,Toyota,2004,28909.0,461354.0,Fit,Super Esportivo
Vermelho,5M-9027,Ford,1999,79746.0,233997.0,Portofino,SUV
Preto,1F-8519,Honda,2018,294482.0,913133.0,Hilux,Pick-up
Vermelho,8G-8176,Toyota,1995,73183.0,613901.0,Focus,SUV
Branco,7F-7504,Ford,2006,280787.0,55390.0,LaFerrari,Hatch
Vermelho,7P-6728,Toyota,2023,225872.0,770476.0,Renegade,SUV
Preto,4I-9570,Ford,1993,269381.0,452000.0,LaFerrari,SUV
Preto,1R-7547,Chevrolet,2022,97998.0,995089.0,Ranger,Super Esportivo
Preto,2R-6515,Honda,2014,237277.0,534408.0,Renegade,Sedan
Verde,4R-3390,Mitsubishi,1992,39158.0,982835.0,F430,SUV
Verde,7U-7918,Ford,2007,130130.0,576192.0,HR-V,Pick-up
Azul,5O-4774,Honda,2022,212702.0,898178.0,Urus,Hatch
Verde,6N-3068,Toyota,1998,237480.0,903189.0,Ranger,Esportivo
Azul,8X-1070,Ford,2009,85541.0,352284.0,HR-V,Hatch
Preto,9H-8539,Ford,2013,65681.0,667919.0,488 GTB,Hatch
Branco,7K-9207,Honda,2005,51011.0,836336.0,Fusion,Sedan
Preto,8M-6368,Toyota,2011,279311.0,827474.0,Essenza SCV12,Super Esportivo
Branco,7Y-2403,Lamborghini,2009,237238.0,108885.0,Uno,SUV
Preto,9W-5037,Chevrolet,1991,244856.0,748036.0,Uno,Hatch
Preto,8L-3686,Ferrari,2022,139893.0,686281.0,Aventador SVJ,Esportivo
Vermelho,3N-2734,Lamborghini,2001,258518.0,941781.0,Essenza SCV12,Pick-up
Verde,5E-6569,Honda,2018,145043.0,883326.0,Sian,Sedan
Verde,9X-4556,Honda,2020,258183.0,228827.0,City,Hatch
Azul,7J-9717,Toyota,2003,113386.0,666292.0,488 GTB,Esportivo
Verde,9D-4903,Toyota,2020,18522.0,229033.0,Ranger,Esportivo
Verde,8F-3154,Honda,2009,182994.0,412665.0,Eclipse GT,Sedan
Vermelho,3D-5493,Lamborghini,2013,236730.0,165865.0,812 Superfast,SUV
Vermelho,9T-7050,Mitsubishi,1997,109781.0,181438.0,Aventador,Hatch
Branco,9N-8407,Chevrolet,2018,77208.0,997156.0,Reventón,SUV
Azul,7J-7078,Ferrari,2010,24342.0,859536.0,C4 Cactus,Hatch
Azul,7B-4470,Ford,1997,31973.0,917234.0,Portofino,Hatch
Branco,5J-3520,Ferrari,2001,292885.0,333993.0,Strada,Esportivo
Azul,7J-6269,Honda,1994,118923.0,727796.0,Cruze,Sedan
Azul,1O-4710,Lamborghini,1991,117612.0,984719.0,Tucson,Esportivo
Preto,5Z-6783,Mitsubishi,2004,189579.0,529530.0,Duster,Hatch
Azul,8L-6296,Mitsubishi,2007,127633.0,653161.0,F8 Tributo,Super Esportivo
Preto,1G-2198,Chevrolet,2023,26388.0,887746.0,Huracan,Sedan
Vermelho,9F-8378,Mitsubishi,1999,55653.0,362601.0,Compass,Hatch
Azul,4Q-5590,Lamborghini,2022,281410.0,416994.0,Urus,Pick-up
Preto,8Q-3637,Ford,2022,297948.0,82267.0,City,Pick-up
Preto,3V-4645,Ferrari,2004,194932.0,979738.0,S10,Pick-up
Vermelho,8E-3339,Ford,2018,17516.0,429276.0,Ranger,Pick-up
Azul,4W-6212,Mitsubishi,2021,243980.0,359857.0,458 Speciale,Esportivo
Branco,8M-7410,Mitsubishi,1996,89137.0,331712.0,Palio,SUV
Branco,6H-1049,Toyota,1993,253601.0,413290.0,Onix,Super Esportivo
Azul,9J-4741,Mitsubishi,2006,256058.0,763222.0,Polo,SUV
Vermelho,5K-6028,Toyota,2010,231801.0,739822.0,Onix,SUV
Azul,7J-9505,Ferrari,1991,83740.0,929189.0,Ranger,Super Esportivo
Preto,8L-4534,Toyota,2008,215694.0,61916.0,Portofino,Sedan
Preto,9N-1257,Chevrolet,2008,199319.0,904734.0,F8 Tributo,SUV
Branco,8W-6412,Lamborghini,2000,279566.0,894834.0,Polo,Pick-up
Verde,6K-7774,Lamborghini,1997,220892.0,81696.0,Sian,Sedan
Verde,9F-3840,Mitsubishi,1990,176462.0,949976.0,HR-V,Super Esportivo
Verde,8K-3296,Lamborghini,2003,282954.0,204947.0,Fiesta Sedan,Pick-up
Preto,3F-1394,Ferrari,2012,123011.0,907404.0,California T,Esportivo
Vermelho,2X-3817,Toyota,2013,257404.0,244250.0,Ranger,Hatch
Verde,7U-9168,Lamborghini,2010,26240.0,705956.0,F430,Hatch
Verde,3C-7778,Honda,2022,269663.0,26493.0,HR-V,Sedan
Branco,2E-1216,Toyota,2003,86131.0,946709.0,F8 Tributo,Esportivo
Branco,7B-1002,Toyota,1990,218549.0,836247.0,Reventón,Sedan
Azul,3D-5096,Honda,2004,129629.0,397197.0,Eclipse GT,Esportivo
Azul,3U-5946,Ferrari,2002,287729.0,346134.0,Fiesta,Super Esportivo
Preto,8G-9078,Toyota,1997,217284.0,686390.0,Sian,Esportivo
Azul,8K-6307,Honda,2007,27921.0,604629.0,Essenza SCV12,Sedan
Verde,3L-6157,Toyota,2002,199930.0,190640.0,Fit,Hatch
Branco,1W-5349,Chevrolet,2020,231833.0,851721.0,458 Speciale,Esportivo
Preto,5S-4860,Lamborghini,2020,289964.0,821036.0,Sian,Pick-up
Vermelho,3W-5727,Chevrolet,2012,155936.0,261401.0,California T,SUV
Branco,8G-3474,Lamborghini,2011,116282.0,196172.0,Focus,SUV
Azul,4H-4491,Chevrolet,2012,146265.0,160467.0,458 Speciale,Pick-up
Preto,3A-8105,Honda,2019,180537.0,836108.0,S10,Sedan
Preto,1M-2769,Lamborghini,2011,236554.0,49105.0,Portofino,Esportivo
Preto,4R-3775,Mitsubishi,2001,235960.0,85391.0,Ranger,SUV
Verde,5P-3639,Honda,2016,156219.0,449271.0,LaFerrari,Esportivo
Vermelho,4R-7451,Honda,2023,42948.0,444866.0,Kicks,Pick-up
Vermelho,5R-5934,Mitsubishi,2021,62152.0,215106.0,Onix,SUV
Preto,8N-5265,Chevrolet,2012,199199.0,484591.0,Tucson,Esportivo
Branco,4V-6288,Mitsubishi,2015,264738.0,530963.0,F430,SUV
Verde,8F-8108,Lamborghini,2019,182488.0,603647.0,488 GTB,Super Esportivo
Preto,8W-1959,Ferrari,1996,257636.0,468630.0,Aventador SVJ,SUV
Branco,4X-5555,Toyota,2008,74164.0,852997.0,Uno,Esportivo
Branco,9M-3763,Chevrolet,1990,28589.0,161622.0,F12 Berlinetta,Hatch
Verde,5V-2315,Lamborghini,1992,89153.0,877932.0,488 Pista,SUV
Vermelho,2T-8845,Chevrolet,1990,230285.0,962882.0,Renegade,Sedan
Vermelho,4D-8665,Ferrari,1998,229888.0,713270.0,California T,Hatch
Preto,4L-9307,Lamborghini,2014,174145.0,697440.0,F12 Berlinetta,Hatch
Verde,7T-7336,Chevrolet,2002,132339.0,776472.0,488 GTB,Super Esportivo
Verde,3M-9705,Ford,1999,97771.0,245775.0,Compass,Sedan
Preto,6Y-9260,Ferrari,2001,71317.0,778322.0,812 Superfast,Pick-up
Vermelho,4B-1227,Ford,1997,275848.0,248217.0,Compass,Esportivo
Azul,4X-8476,Mitsubishi,2020,151943.0,512203.0,Compass,Pick-up
Verde,3F-6500,Ford,1990,149803.0,596533.0,Aventador,Pick-up
Azul,9U-7106,Honda,2017,259471.0,432170.0,LaFerrari,Super Esportivo
Vermelho,9R-1704,Chevrolet,1992,253027.0,770765.0,Aventador SVJ,Hatch
Azul,5N-7381,Ferrari,1999,87594.0,495402.0,Fiesta,Esportivo
Branco,9T-1432,Toyota,2008,261373.0,497587.0,City,SUV
Vermelho,2Q-4693,Honda,1990,257140.0,382007.0,Voyage,SUV
Azul,1M-4013,Mitsubishi,1992,294222.0,753937.0,Strada,Esportivo
Branco,9W-5490,Honda,2004,185226.0,766279.0,Fiesta Sedan,SUV
Azul,2B-9456,Lamborghini,2020,203094.0,501105.0,Golf,Hatch
Branco,8N-7925,Honda,1992,27474.0,593646.0,Urus,Sedan
Branco,3S-1492,Ford,2006,264438.0,559350.0,A3,SUV
Preto,6V-6908,Mitsubishi,2019,29169.0,710410.0,Essenza SCV12,Esportivo
Verde,9U-5974,Lamborghini,1993,47999.0,108456.0,Portofino,SUV
Azul,7I-7588,Honda,2017,298403.0,473243.0,S10,Pick-up
Vermelho,6K-3648,Chevrolet,2017,101838.0,171492.0,Aventador SVJ,Super Esportivo
Azul,4D-9991,Mitsubishi,1999,21112.0,644365.0,Huracan,Pick-up
Branco,8U-7455,Ferrari,1994,232025.0,402678.0,Renegade,Hatch
Branco,5A-3055,Toyota,2010,188224.0,598289.0,Fiesta,SUV
Branco,6P-8651,Ford,1993,69502.0,478836.0,Huracan,Super Esportivo
Vermelho,4F-9120,Mitsubishi,1994,247636.0,485108.0,HR-V,Esportivo
Preto,5W-8539,Chevrolet,2018,36495.0,582156.0,C4 Cactus,Esportivo
Verde,9K-1046,Ford,2018,87412.0,301849.0,F430,Hatch
Branco,3K-6497,Toyota,2019,165884.0,194609.0,HR-V,Sedan
Vermelho,9B-3231,Mitsubishi,2016,166867.0,920087.0,Golf,Hatch
Branco,3W-3707,Chevrolet,2021,207430.0,202109.0,Onix,Super Esportivo
Verde,5Q-5208,Ford,1996,138956.0,296095.0,812 GTS,Pick-up
Vermelho,6Z-3902,Honda,2003,288404.0,228691.0,488 Pista,Super Esportivo
Branco,2W-9411,Lamborghini,2021,153576.0,127091.0,812 Superfast,Sedan
Preto,8Y-7259,Toyota,2012,274051.0,473216.0,Eclipse GT,Super Esportivo
Preto,4K-3041,Lamborghini,2011,194466.0,993161.0,Huracan,Hatch
Verde,4E-4636,Chevrolet,1996,148108.0,184922.0,Reventón,Hatch
Vermelho,2B-8240,Chevrolet,2007,120662.0,665363.0,Reventón,Hatch
Verde,9C-8260,Mitsubishi,1996,276252.0,370672.0,F430,SUV
Vermelho,9S-3705,Chevrolet,2011,254104.0,796660.0,Aventador SVJ,Sedan
Azul,6A-1637,Ford,2004,159876.0,955980.0,Hilux,Pick-up
Vermelho,4Q-1279,Honda,2019,244784.0,886094.0,Fit,Sedan
Preto,5W-9795,Mitsubishi,1990,1031.0,688621.0,Urus,SUV
Branco,6N-8443,Ferrari,2001,183430.0,991000.0,Reventón,Super Esportivo
Verde,4Q-9089,Ford,2006,112719.0,751715.0,812 Superfast,Esportivo
Preto,9I-6154,Toyota,1997,146803.0,770842.0,Polo,Pick-up
Vermelho,2V-2764,Honda,2011,264280.0,110372.0,Aventador,Pick-up
Azul,6R-9218,Ferrari,2007,42731.0,436637.0,Aventador,Pick-up
Verde,8I-4710,Lamborghini,2015,269201.0,392936.0,Corolla,Pick-up
Vermelho,8G-5533,Ford,2008,217161.0,399747.0,Kicks,Super Esportivo
Verde,7E-8535,Honda,2011,287013.0,501223.0,HR-V,Hatch
Branco,9V-4809,Honda,2008,291590.0,922386.0,Huracan,Sedan
Preto,9K-7968,Honda,2023,21770.0,197792.0,A3,Sedan
Verde,7B-3861,Chevrolet,2002,80544.0,805605.0,Hilux,SUV
Branco,7H-8035,Ford,2005,252877.0,946349.0,488 GTB,Esportivo
Verde,2R-3379,Toyota,2017,111118.0,247248.0,Fiesta Sedan,Pick-up
Azul,1A-4848,Honda,2008,147500.0,980407.0,Fusion,SUV
Branco,3N-9831,Chevrolet,2001,272449.0,638576.0,Portofino,Esportivo
Branco,7R-7300,Ferrari,2002,192593.0,938520.0,Kicks,Hatch
Azul,3B-5156,Ferrari,2018,81429.0,264165.0,Voyage,Hatch
Branco,5R-7191,Toyota,2006,141732.0,858920.0,C4 Cactus,Super Esportivo
Vermelho,8O-7102,Honda,1990,121847.0,51452.0,Creta,Esportivo
Verde,7Y-5098,Mitsubishi,1992,199209.0,685660.0,F430,SUV
Azul,6N-5824,Ford,1994,80978.0,766448.0,F8 Tributo,Super Esportivo
Branco,1H-7464,Mitsubishi,1994,97449.0,29516.0,Palio,SUV
Branco,6C-4138,Ferrari,2017,189343.0,738053.0,HR-V,Pick-up
Verde,2C-1700,Ford,1999,142796.0,669317.0,Civic,Super Esportivo
Azul,2E-6126,Lamborghini,2005,92711.0,26789.0,Creta,Pick-up
Verde,7J-3436,Mitsubishi,2021,154182.0,925607.0,Onix,SUV
Preto,8H-2272,Toyota,2014,297047.0,122219.0,458 Italia,Esportivo
Azul,1R-2572,Lamborghini,2006,41482.0,955096.0,Corolla,Pick-up
Verde,4C-7343,Ferrari,2002,99279.0,367606.0,Urus,Hatch
Branco,1L-1305,Ferrari,2009,168204.0,866879.0,812 Superfast,Sedan
Preto,2N-1471,Mitsubishi,2009,196917.0,44406.0,458 Italia,SUV
Verde,5R-1522,Ford,2000,138088.0,177750.0,Fiesta,SUV
Azul,8J-1622,Chevrolet,2003,128643.0,934484.0,Reventón,Esportivo
Vermelho,3S-2462,Chevrolet,2018,254024.0,990694.0,Sian,Pick-up
Azul,3H-7433,Toyota,2001,38340.0,989092.0,Corolla,Pick-up
Branco,7I-6248,Ford,1998,275345.0,626284.0,Gallardo,Super Esportivo
Azul,8Z-8505,Ford,2004,293244.0,532447.0,Fiesta Sedan,Pick-up
Vermelho,3R-8663,Ferrari,1990,195295.0,244907.0,Kicks,SUV
Verde,6L-9953,Toyota,1997,44159.0,522786.0,812 GTS,Esportivo
Branco,5R-2124,Toyota,2022,220308.0,57291.0,Ranger,Super Esportivo
Branco,6W-9331,Mitsubishi,2015,28967.0,580778.0,Hilux,SUV
Preto,1S-1107,Toyota,1993,114370.0,683651.0,488 Pista,SUV
Preto,2U-7969,Ford,2023,30618.0,692387.0,812 Superfast,Super Esportivo
Preto,2Y-3698,Chevrolet,2017,239891.0,401247.0,812 GTS,Pick-up
Branco,3W-3111,Ferrari,1998,225949.0,832162.0,Golf,Super Esportivo
Verde,3E-4761,Toyota,1997,214663.0,69416.0,Civic,Pick-up
Azul,5L-4610,Ford,2004,121724.0,539916.0,Strada,SUV
Verde,1G-4260,Chevrolet,2006,149533.0,501330.0,F12 Berlinetta,Super Esportivo
Branco,9K-3209,Chevrolet,2022,297823.0,775154.0,Strada,SUV
Verde,5C-1195,Honda,2020,66922.0,891220.0,A3,Hatch
Preto,5T-1735,Lamborghini,2023,286060.0,592794.0,Essenza SCV12,Hatch
Azul,9X-1797,Chevrolet,2018,122222.0,846002.0,Tiguan,SUV
Preto,8Y-2800,Ferrari,2002,241633.0,748285.0,City,Esportivo
Branco,5W-6082,Toyota,2001,14679.0,426366.0,Aventador,Pick-up
Vermelho,8T-1340,Toyota,2007,65309.0,464977.0,F430,Sedan
Verde,2G-6776,Lamborghini,2016,288893.0,198648.0,Ranger,Esportivo
Verde,2K-3575,Mitsubishi,2000,36997.0,309340.0,Tiguan,Sedan
Branco,4P-8385,Toyota,2007,23982.0,255269.0,Polo,Hatch
Branco,2H-7026,Ferrari,1994,29423.0,615836.0,F430,Pick-up
Branco,6U-2830,Toyota,2019,27304.0,26633.0,S10,Pick-up
Preto,7G-4645,Ford,2018,178482.0,725841.0,Fiesta,Super Esportivo
Verde,7W-6597,Honda,1998,6590.0,416400.0,Ranger,Pick-up
Branco,4U-2795,Lamborghini,2008,19558.0,630459.0,City,Sedan
Azul,6W-3485,Toyota,2005,54748.0,183973.0,488 GTB,Super Esportivo
Preto,6Q-6102,Ferrari,2008,222172.0,858019.0,Sian,Hatch
Vermelho,1W-6600,Ferrari,2011,38467.0,791987.0,Palio,Super Esportivo
Preto,1E-1164,Chevrolet,2021,22618.0,959521.0,Tiguan,Pick-up
Azul,7N-6176,Mitsubishi,2013,279177.0,775925.0,488 Pista,SUV
Azul,8T-9375,Mitsubishi,2003,98806.0,774662.0,Voyage,Super Esportivo
Azul,5C-7297,Ferrari,1991,4855.0,743876.0,Uno,Sedan
Verde,4O-3563,Ferrari,2004,71779.0,203804.0,Cruze,Sedan
Verde,6J-5940,Toyota,1998,172529.0,646082.0,Aventador SVJ,Super Esportivo
Preto,4D-4496,Honda,2014,147926.0,355006.0,Fit,Sedan
Preto,5N-6091,Mitsubishi,2023,214555.0,238835.0,Duster,Hatch
Azul,8I-2736,Mitsubishi,2019,119256.0,789740.0,F430,Pick-up
Preto,6G-3755,Lamborghini,2012,129480.0,346329.0,Aventador SVJ,Hatch
Branco,3R-2267,Mitsubishi,2010,151872.0,674187.0,Golf,Esportivo
Preto,9E-6034,Toyota,2012,274747.0,182646.0,488 Pista,Esportivo
Vermelho,9Y-4853,Mitsubishi,2021,260357.0,250383.0,C4 Cactus,SUV
Verde,3L-5396,Honda,1995,267596.0,476149.0,Essenza SCV12,Super Esportivo
Azul,6J-6223,Ferrari,2006,20219.0,743050.0,Reventón,Super Esportivo
Azul,2E-6983,Toyota,2021,157091.0,594351.0,Ranger,Pick-up
Vermelho,3H-2683,Lamborghini,2001,167989.0,352549.0,Cruze,Esportivo
Preto,3K-7351,Chevrolet,2010,123882.0,363932.0,Golf,SUV
Azul,4G-4647,Chevrolet,2008,1971.0,741205.0,Golf,SUV
Vermelho,2O-3715,Honda,1999,28549.0,816535.0,Cruze,Pick-up
Verde,5Z-2661,Lamborghini,2021,70353.0,289042.0,Focus,Super Esportivo
Branco,8B-1507,Mitsubishi,2010,98442.0,731983.0,Strada,Esportivo
Vermelho,4Y-1664,Ferrari,2000,251903.0,34733.0,Fiesta,Sedan
Branco,6V-8897,Toyota,2007,235858.0,370463.0,Essenza SCV12,Pick-up
Vermelho,6E-6834,Toyota,1996,258790.0,252726.0,S10,Sedan
Vermelho,9N-7614,Ferrari,2008,60727.0,978654.0,Voyage,Super Esportivo
Verde,6D-6948,Honda,2010,190685.0,508319.0,California T,Sedan
Verde,9Q-8577,Mitsubishi,1995,152128.0,483483.0,Corolla,SUV
Azul,2H-7870,Ferrari,2008,245867.0,211313.0,Uno,Super Esportivo
Preto,6C-5635,Toyota,1994,133138.0,223444.0,Ranger,Pick-up
Vermelho,4L-6110,Chevrolet,2021,227837.0,970102.0,Huracan,Esportivo
Azul,5P-2026,Chevrolet,1991,103638.0,205735.0,Fusion,Super Esportivo
Verde,5Y-3771,Ferrari,2014,277514.0,194534.0,Civic,Super Esportivo
Preto,7C-3321,Ferrari,2001,216157.0,615746.0,City,Esportivo
Vermelho,5A-8408,Ferrari,2001,124799.0,961711.0,Kicks,SUV
Vermelho,9T-5228,Ferrari,2013,42601.0,147722.0,Aventador SVJ,Hatch
Preto,9I-9097,Mitsubishi,1998,258596.0,969754.0,Eclipse GT,SUV
Azul,9N-3738,Honda,2005,140041.0,603278.0,Renegade,Esportivo
Azul,4M-6050,Ferrari,2017,82364.0,196346.0,California T,Pick-up
Preto,1Q-7357,Toyota,2014,270543.0,803313.0,Cruze,Esportivo
Preto,1J-2075,Ford,1996,164936.0,234901.0,458 Italia,Hatch
Verde,1N-2321,Ferrari,1997,233259.0,812276.0,Creta,Pick-up
Branco,4L-5909,Mitsubishi,2013,254893.0,976316.0,458 Speciale,Super Esportivo
Branco,3O-9314,Chevrolet,1999,26589.0,908594.0,Golf,Hatch
Preto,4G-8869,Lamborghini,1991,244519.0,439238.0,812 GTS,Esportivo
Preto,2W-1182,Ford,1991,96334.0,353025.0,Portofino,SUV
Azul,1F-2583,Chevrolet,2006,204495.0,895069.0,Compass,Super Esportivo
Azul,5F-5786,Honda,2014,15743.0,417365.0,Uno,Hatch
Branco,1D-5260,Ford,2020,297127.0,189929.0,HR-V,Esportivo
Branco,1J-5362,Ferrari,1999,138250.0,986322.0,Fiesta,Sedan
Azul,9U-7932,Toyota,2009,58189.0,746710.0,Huracan,Esportivo
Azul,3L-2695,Ferrari,2010,63978.0,65733.0,S10,Esportivo
Branco,4D-7744,Ford,1992,193452.0,107440.0,Fiesta,SUV
Azul,9R-7379,Lamborghini,2010,35197.0,189091.0,S10,Esportivo
Branco,2K-6901,Ferrari,2020,60215.0,126924.0,Tucson,Pick-up
Branco,6Z-4024,Lamborghini,2005,222040.0,740047.0,Fiesta Sedan,Hatch
Branco,5Q-6669,Lamborghini,2022,112736.0,25254.0,Kicks,SUV
Azul,3O-5434,Chevrolet,1998,257516.0,783012.0,488 GTB,Sedan
Branco,9O-8651,Ferrari,2021,197459.0,667298.0,Compass,SUV
Verde,3J-6945,Honda,2019,7060.0,496432.0,Creta,SUV
Preto,2E-3456,Ford,2000,162969.0,383288.0,Cruze,SUV
Azul,6J-2433,Toyota,2000,137598.0,481852.0,Uno,Hatch
Preto,9G-2886,Chevrolet,2001,183842.0,27225.0,Reventón,Super Esportivo
Branco,1Y-5290,Toyota,2012,157334.0,874547.0,S10,Esportivo
Verde,7T-1597,Honda,1997,186052.0,867393.0,458 Italia,Pick-up
Azul,7V-7258,Mitsubishi,1999,157309.0,463629.0,LaFerrari,Super Esportivo
Verde,8W-5556,Ferrari,2014,271843.0,50546.0,Gallardo,Pick-up
Branco,6G-2546,Lamborghini,1991,266514.0,988755.0,812 GTS,Hatch
Preto,5K-5439,Mitsubishi,1990,4642.0,580608.0,Tiguan,Hatch
Branco,1G-7286,Ford,2009,221172.0,489986.0,Duster,SUV
